UID,total_pop,pop_4-0,pop_9-5,pop_14-10,pop_19-15,pop_24-20,pop_29-25,pop_34-30,pop_39-35,pop_44-40,pop_49-45,pop_54-50,pop_59-55,pop_64-60,pop_69-65,pop_74-70,pop_79-75,pop_84-80,pop_+85
132,602,71,81,75,46,26,21,22,42,56,50,16,12,13,22,26,10,..,9
106,346,49,40,46,31,18,23,19,15,29,13,8,7,15,23,6,..,..,..
582,1260,106,117,85,84,91,74,74,85,90,79,74,76,64,57,39,26,22,18
187,1593,121,131,157,144,140,61,64,73,95,120,170,94,59,50,32,27,35,20
217,1460,133,152,164,338,82,61,59,64,74,82,45,40,28,31,36,34,29,7
888,836,67,82,94,78,61,40,35,41,66,66,58,39,37,34,22,4,5,9
190,1973,121,160,182,206,139,87,92,105,113,174,166,100,90,66,43,50,30,48
320,1143,92,122,116,93,85,43,50,61,91,96,77,43,31,47,41,26,15,15
786,768,64,67,66,141,51,54,46,38,33,25,29,39,48,30,7,10,9,13
609,775,77,90,81,62,53,50,50,37,47,40,42,51,40,25,7,11,6,6
193,648,52,63,68,34,38,12,38,44,52,52,31,29,30,16,34,29,18,8
112,842,56,72,54,46,53,49,58,88,68,68,44,35,38,45,30,13,10,16
673,893,82,74,95,67,53,41,48,65,68,60,69,46,46,34,18,12,9,6
233,730,45,68,89,70,35,19,36,27,60,79,51,20,22,25,41,33,5,..
140,1224,84,116,140,117,90,60,49,54,84,85,101,58,44,25,21,25,35,36
85,1213,101,135,166,137,55,37,70,69,116,83,43,29,43,55,33,19,..,18
170,659,58,68,65,49,58,45,38,31,37,40,39,37,36,17,12,10,11,9
387,943,92,95,88,62,44,39,64,61,66,79,41,47,53,51,23,10,12,15
1095,375,34,47,44,15,54,34,8,15,21,25,21,8,..,4,8,15,18,4
98,325,32,21,22,17,13,21,19,19,25,20,14,17,16,25,15,11,11,7
764,644,54,71,61,47,40,19,19,46,58,35,43,28,32,35,22,16,..,16
316,1193,115,125,120,92,61,31,64,100,117,104,73,29,24,47,41,25,17,8
249,1502,115,157,164,122,82,51,52,91,139,128,97,68,41,45,58,33,26,31
189,1034,87,84,70,450,37,37,40,39,30,21,27,16,18,21,21,18,11,7
388,619,51,73,55,48,48,20,30,37,55,46,33,31,24,40,21,6,..,..
1130,243,13,16,15,15,25,11,11,11,14,24,18,10,5,13,16,20,4,..
1166,264,50,34,7,..,..,8,26,32,19,10,..,10,15,35,9,..,..,0
605,559,72,95,68,27,26,31,31,35,47,18,17,22,31,23,11,4,..,..
743,956,95,109,103,66,50,36,53,79,78,80,48,27,38,53,25,4,10,4
664,526,66,55,45,28,34,37,46,31,28,20,24,32,28,19,10,6,9,7
580,777,70,80,84,58,47,31,32,42,59,73,48,35,32,44,33,..,..,..
1230,427,40,33,41,34,34,31,27,30,21,22,31,20,32,29,..,..,0,..
52,816,90,129,96,61,37,29,31,73,81,61,37,28,31,13,6,6,..,5
674,692,46,58,70,72,40,34,28,35,59,55,61,28,24,30,27,13,4,7
24,769,37,58,83,79,78,38,22,38,41,58,86,43,17,8,15,27,31,9
1173,128,9,6,..,12,5,8,12,14,7,..,0,5,26,19,0,0,0,0
2055,1398,129,157,146,127,100,64,73,82,117,120,93,55,44,38,23,12,14,6
829,439,46,37,33,29,25,28,38,25,20,14,33,28,24,23,10,7,10,9
573,484,67,31,25,30,31,53,52,38,23,23,21,28,25,17,6,..,4,9
689,1329,119,123,126,95,68,47,88,96,120,104,78,42,54,61,38,29,27,16
1155,676,101,88,68,23,25,22,55,55,67,27,24,12,25,42,24,12,6,..
722,1089,71,84,106,91,70,54,57,61,84,84,63,62,59,52,41,18,10,21
2029,794,71,92,84,51,46,34,38,52,62,60,48,30,34,32,16,16,15,14
606,1331,97,140,136,132,81,50,53,82,90,107,106,54,50,50,53,16,17,18
3599,609,83,80,86,69,38,19,50,35,34,27,12,6,16,37,14,..,0,0
776,477,53,50,47,19,38,38,45,30,26,18,17,20,23,28,15,..,6,..
