City_Name,City_Code,Date,Cumulative_verified_cases,Cumulated_recovered,Cumulated_deaths,Cumulated_number_of_tests,Cumulated_number_of_diagnostic_tests,Cumulated_vaccinated,Active_cases,UID,population_60+,total_pop,vaccination_60+,name_h,name_e,Index,Rank,"Active cases per 10,000 people - 12/1/21",60+ Vaccination [%] - 12/1/21,VNR,weight
בנימינה-גבעת עדה,9800,2021-01-12,316,285,0,15610,15167,2631,31,9800,1997,15847,1162.0,בנימינה-גבעת עדה,BINYAMINA-GIV'AT ADA,1.322,232.0,19.562062219978547,58.187280921382076,0.33619137911615454,0.1491688895096997
"בסמ""ה",1326,2021-01-12,592,531,1,8200,7768,754,60,1326,698,10010,230.0,"בסמ""ה",BASMA,-1.18,30.0,59.940059940059946,32.95128939828081,1.8190505147026885,0.05213814966338027
בענה,483,2021-01-12,720,676,1,8932,8386,518,43,483,669,8381,170.0,בענה,BI'NE,-1.142,34.0,51.30652666746212,25.411061285500747,2.0190627259136567,0.04997195146819685
בת ים,6200,2021-01-12,5383,4577,133,135302,128975,25495,673,6200,36629,129013,18541.0,בת ים,BAT YAM,-0.024,122.0,52.16528566888608,50.618362499658744,1.0305605138696015,2.7360577134956388
גבעת זאב,3730,2021-01-12,2219,1803,1,24691,23936,2677,415,3730,2117,18420,1393.0,גבעת זאב,GIV'AT ZE'EV,-0.084,115.0,225.2985884907709,65.80066131317903,3.42395629457977,0.15813246824838972
גבעת שמואל,681,2021-01-12,1078,870,1,46637,45785,5609,207,681,4294,26578,2964.0,גבעת שמואל,GIV'AT SHEMU'EL,1.129,216.0,77.8839641809015,69.02654867256636,1.1283189682617782,0.32074672586612446
גבעתיים,6300,2021-01-12,1269,1102,17,54972,53530,13551,150,6300,12500,60644,8303.0,גבעתיים,GIV'ATAYIM,1.453,241.0,24.734516192863268,66.424,0.3723731812727819,0.9337061186135436
ג'דיידה-מכר,1292,2021-01-12,1307,1170,15,19898,19051,1751,122,1292,1857,21163,720.0,ג'דיידה-מכר,JUDEIDE-MAKER,-0.993,43.0,57.647781505457644,38.77221324717286,1.486832364661595,0.13871138098122804
גדרה,2550,2021-01-12,1019,894,22,35060,34018,4992,103,2550,4067,28313,2385.0,גדרה,GEDERA,0.753,190.0,36.379048493624836,58.642734202114575,0.6203504831177032,0.30379062275210256
ג'ולס,485,2021-01-12,512,450,1,6294,5945,507,61,485,687,6465,208.0,ג'ולס,JULIS,-0.326,98.0,94.35421500386698,30.27656477438137,3.1164108513296447,0.05131648827900035
ג'לג'וליה,627,2021-01-12,666,609,1,9804,9233,478,56,627,895,10148,189.0,ג'לג'וליה,JALJULYE,-1.062,37.0,55.183287347260546,21.11731843575419,2.613176834698317,0.06685335809272971
גן יבנה,166,2021-01-12,1020,881,1,23665,22983,4307,138,166,2715,23869,1739.0,גן יבנה,GAN YAVNE,0.761,191.0,57.81557668942981,64.05156537753223,0.9026411196768369,0.20280096896286168
גני תקווה,229,2021-01-12,759,565,1,23760,23095,5135,193,229,3930,20398,3065.0,גני תקווה,GANNE TIQWA,1.411,239.0,94.61711932542406,77.98982188295165,1.2131982999964652,0.2935572036920981
ג'ש (גוש חלב),487,2021-01-12,202,110,1,3557,3485,702,91,487,467,3105,287.0,ג'ש (גוש חלב),JISH(GUSH HALAV),0.419,161.0,293.0756843800322,61.45610278372591,4.768862181375437,0.03488326059140198
ג'ת,628,2021-01-12,858,791,1,12514,11843,1693,66,628,1187,12100,572.0,ג'ת,JATT,-0.137,111.0,54.54545454545455,48.188711036225776,1.1319135410044503,0.0886647330235421
דאלית אל-כרמל,494,2021-01-12,1558,1277,1,17273,16701,2703,280,494,2124,17653,1012.0,דאלית אל-כרמל,DALIYAT AL-KARMEL,-0.294,100.0,158.6132668668215,47.64595103578154,3.328997814477558,0.15865534367481332
דבוריה,489,2021-01-12,813,740,1,15978,14948,1228,72,489,1036,10510,372.0,דבורייה,DABURIYYA,-0.625,79.0,68.50618458610847,35.907335907335906,1.9078604094410856,0.07738556311069049
דייר אל-אסד,490,2021-01-12,1115,1044,1,13621,12458,1268,70,490,1014,12514,450.0,דייר אל-אסד,DEIR AL-ASAD,-0.636,78.0,55.93735016781205,44.37869822485207,1.2604549571146981,0.07574224034193065
דייר חנא,492,2021-01-12,857,687,1,11998,11559,1239,169,492,967,10339,495.0,דייר חנא,DEIR HANNA,-0.745,70.0,163.45874842828127,51.18924508790072,3.1932244389928885,0.07223150533594373
דימונה,2200,2021-01-12,1301,1133,1,52883,51283,8917,167,2200,6170,34500,3711.0,דימונה,DIMONA,-0.274,102.0,48.405797101449274,60.14586709886548,0.804806704704775,0.4608773401476451
הוד השרון,9700,2021-01-12,1589,1370,19,67727,66453,15274,200,9700,11813,63175,8388.0,הוד השרון,HOD HASHARON,1.491,242.0,31.658092599920856,71.00651824261406,0.44584769656993933,0.8823896303345432
הר אדר,3769,2021-01-12,138,105,1,6244,6098,1152,32,3769,640,4088,512.0,הר אדר,HAR ADAR,1.758,250.0,78.27788649706459,80.0,0.9784735812133073,0.04780575327301343
הרצליה,6400,2021-01-12,2631,2283,47,101176,98727,25181,301,6400,24016,97470,16514.0,הרצלייה,HERZLIYYA,1.221,224.0,30.881296809274648,68.76249167221852,0.4491008987353397,1.793910891569829
זכרון יעקב,9300,2021-01-12,726,612,1,20558,20066,5237,113,9300,3923,23206,2748.0,זכרון יעקב,ZIKHRON YA'AQOV,1.176,220.0,48.69430319744893,70.04843232220239,0.6951519339286469,0.2930343282656745
